state,county,persons,hud_med_inc,hud_inc_lim80
1,29,2,51400,32900
1,29,3,51400,37000
1,29,4,51400,41100
1,29,5,51400,44400
1,29,6,51400,47700
1,29,7,51400,51000
1,29,8,51400,54300
1,31,1,65400,36650
1,31,2,65400,41850
1,31,3,65400,47100
1,31,4,65400,52300
1,31,5,65400,56500
1,31,6,65400,60700
1,31,7,65400,64900
1,31,8,65400,69050
1,33,1,57500,32200
1,33,2,57500,36800
1,33,3,57500,41400
1,33,4,57500,46000
1,33,5,57500,49700
1,33,6,57500,53400
1,33,7,57500,57050
1,33,8,57500,60750
1,35,1,34500,27200
1,35,2,34500,31050
1,35,3,34500,34950
1,35,4,34500,38800
1,35,5,34500,41950
1,35,6,34500,45050
1,35,7,34500,48150
1,35,8,34500,51250
1,37,1,44800,27200
1,37,2,44800,31050
1,37,3,44800,34950
1,37,4,44800,38800
1,37,5,44800,41950
1,37,6,44800,45050
1,37,7,44800,48150
1,37,8,44800,51250
1,39,1,48200,27200
1,39,2,48200,31050
1,39,3,48200,34950
1,39,4,48200,38800
1,39,5,48200,41950
1,39,6,48200,45050
1,39,7,48200,48150
1,39,8,48200,51250
1,41,1,52900,29650
1,41,2,52900,33850
1,41,3,52900,38100
1,41,4,52900,42300
1,41,5,52900,45700
1,41,6,52900,49100
1,41,7,52900,52500
1,41,8,52900,55850
1,43,1,45100,27200
1,43,2,45100,31050
1,43,3,45100,34950
1,43,4,45100,38800
1,43,5,45100,41950
1,43,6,45100,45050
1,43,7,45100,48150
1,43,8,45100,51250
1,45,1,59500,33350
1,45,2,59500,38100
1,45,3,59500,42850
1,45,4,59500,47600
1,45,5,59500,51450
1,45,6,59500,55250
1,45,7,59500,59050
1,45,8,59500,62850
1,47,1,38700,27200
1,47,2,38700,31050
1,47,3,38700,34950
1,47,4,38700,38800
1,47,5,38700,41950
1,47,6,38700,45050
1,47,7,38700,48150
1,47,8,38700,51250
1,49,1,45900,27200
1,49,2,45900,31050
1,49,3,45900,34950
1,49,4,45900,38800
1,49,5,45900,41950
1,49,6,45900,45050
1,49,7,45900,48150
1,49,8,45900,51250
1,51,1,62900,35250
1,51,2,62900,40250
1,51,3,62900,45300
1,51,4,62900,50300
1,51,5,62900,54350
1,51,6,62900,58350
1,51,7,62900,62400
1,51,8,62900,66400
1,53,1,42800,27200
1,53,2,42800,31050
1,53,3,42800,34950
1,53,4,42800,38800
1,53,5,42800,41950
1,53,6,42800,45050
1,53,7,42800,48150
1,53,8,42800,51250
1,55,1,54100,30350
1,55,2,54100,34650
1,55,3,54100,39000
1,55,4,54100,43300
1,55,5,54100,46800
1,55,6,54100,50250
1,55,7,54100,53700
1,55,8,54100,57200
1,57,1,45800,27200
1,57,2,45800,31050
1,57,3,45800,34950
1,57,4,45800,38800
1,57,5,45800,41950
1,57,6,45800,45050
1,57,7,45800,48150
1,57,8,45800,51250
1,59,1,47300,27200
1,59,2,47300,31050
1,59,3,47300,34950
1,59,4,47300,38800
1,59,5,47300,41950
1,59,6,47300,45050
1,59,7,47300,48150
1,59,8,47300,51250
1,61,1,52200,29250
1,61,2,52200,33400
1,61,3,52200,37600
1,61,4,52200,41750
1,61,5,52200,45100
1,61,6,52200,48450
1,61,7,52200,51800
1,61,8,52200,55150
1,63,1,28500,27200
1,63,2,28500,31050
1,63,3,28500,34950
1,63,4,28500,38800
1,63,5,28500,41950
1,63,6,28500,45050
1,63,7,28500,48150
1,63,8,28500,51250
1,65,1,61500,34450
1,65,2,61500,39400
1,65,3,61500,44300
1,65,4,61500,49200
1,65,5,61500,53150
1,65,6,61500,57100
1,65,7,61500,61050
1,65,8,61500,64950
1,67,1,58300,32700
1,67,2,58300,37350
1,67,3,58300,42000
1,67,4,58300,46650
1,67,5,58300,50400
1,67,6,58300,54150
1,67,7,58300,57850
1,67,8,58300,61600
1,69,1,52200,29250
1,69,2,52200,33400
1,69,3,52200,37600
1,69,4,52200,41750
1,69,5,52200,45100
1,69,6,52200,48450
1,69,7,52200,51800
1,69,8,52200,55150
1,71,1,47900,27200
1,71,2,47900,31050
1,71,3,47900,34950
1,71,4,47900,38800
1,71,5,47900,41950
1,71,6,47900,45050
1,71,7,47900,48150
1,71,8,47900,51250
1,73,1,71000,39400
1,73,2,71000,45000
1,73,3,71000,50650
1,73,4,71000,56250
1,73,5,71000,60750
1,73,6,71000,65250
1,73,7,71000,69750
1,73,8,71000,74250
1,75,1,42900,27200
1,75,2,42900,31050
1,75,3,42900,34950
1,75,4,42900,38800
1,75,5,42900,41950
1,75,6,42900,45050
1,75,7,42900,48150
1,75,8,42900,51250
1,77,1,57500,32200
1,77,2,57500,36800
1,77,3,57500,41400
1,77,4,57500,46000
1,77,5,57500,49700
1,77,6,57500,53400
1,77,7,57500,57050
1,77,8,57500,60750
1,79,1,58700,32900
1,79,2,58700,37600
1,79,3,58700,42300
1,79,4,58700,46950
1,79,5,58700,50750
1,79,6,58700,54500
1,79,7,58700,58250
1,79,8,58700,62000
1,81,1,66900,36900
1,81,2,66900,42200
1,81,3,66900,47450
1,81,4,66900,52700
1,81,5,66900,56950
1,81,6,66900,61150
1,81,7,66900,65350
1,81,8,66900,69600
1,83,1,78700,44100
1,83,2,78700,50400
1,83,3,78700,56700
1,83,4,78700,62950
1,83,5,78700,68000
1,83,6,78700,73050
1,83,7,78700,78100
1,83,8,78700,83100
1,85,1,62900,35250
1,85,2,62900,40250
1,85,3,62900,45300
1,85,4,62900,50300
1,85,5,62900,54350
1,85,6,62900,58350
1,85,7,62900,62400
